,Unnamed: 0,id,uri,nome,siglaPartido,uriPartido,siglaUf,idLegislatura,urlFoto,x,y,z,cores
70,70,178963,https://dadosabertos.camara.leg.br/api/v2/deputados/178963,Covatti Filho,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,RS,56,http://www.camara.gov.br/internet/deputado/bandep/178963.jpg,-0.0737385302782058,-0.3446890413761139,0.2044279724359512,#008000
71,71,135054,https://dadosabertos.camara.leg.br/api/v2/deputados/135054,Cristiano Vale,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,PA,56,http://www.camara.gov.br/internet/deputado/bandep/135054.jpg,0.1037770211696624,-0.2750970721244812,-0.2820278704166412,#008000
72,72,204355,https://dadosabertos.camara.leg.br/api/v2/deputados/204355,Da Vitória,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,ES,56,http://www.camara.gov.br/internet/deputado/bandep/204355.jpg,-0.2692639231681824,-0.2170564532279968,0.0321549884974956,#008000
73,73,141411,https://dadosabertos.camara.leg.br/api/v2/deputados/141411,Dagoberto Nogueira,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,MS,56,http://www.camara.gov.br/internet/deputado/bandep/141411.jpg,-0.048279520124197,0.2117943316698074,0.4129379093647003,#1f77b4
77,77,204454,https://dadosabertos.camara.leg.br/api/v2/deputados/204454,Daniel Silveira,PTB,https://dadosabertos.camara.leg.br/api/v2/partidos/36845,RJ,56,http://www.camara.gov.br/internet/deputado/bandep/204454.jpg,-0.3327584266662597,-0.2423842996358871,0.0395047962665557,#9467bd
78,78,204409,https://dadosabertos.camara.leg.br/api/v2/deputados/204409,Daniel Trzeciak,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,RS,56,http://www.camara.gov.br/internet/deputado/bandep/204409.jpg,0.1217590346932411,-0.1325353235006332,0.3913396000862121,#1f77b4
80,80,160528,https://dadosabertos.camara.leg.br/api/v2/deputados/160528,Danilo Cabral,PSB,https://dadosabertos.camara.leg.br/api/v2/partidos/36832,PE,56,http://www.camara.gov.br/internet/deputado/bandep/160528.jpg,0.2056952267885208,0.3158360123634338,0.3316157162189483,#90ee90
82,82,160552,https://dadosabertos.camara.leg.br/api/v2/deputados/160552,Danrlei de Deus Hinterholz,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,RS,56,http://www.camara.gov.br/internet/deputado/bandep/160552.jpg,-0.1333736479282379,-0.3278759121894836,0.4109803736209869,#660000
83,83,116379,https://dadosabertos.camara.leg.br/api/v2/deputados/116379,Darci de Matos,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,SC,56,http://www.camara.gov.br/internet/deputado/bandep/116379.jpg,0.3801807463169098,-0.181569367647171,0.0154978577047586,#660000
84,84,205548,https://dadosabertos.camara.leg.br/api/v2/deputados/205548,David Miranda,PDT,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,RJ,56,http://www.camara.gov.br/internet/deputado/bandep/205548.jpg,0.3730429410934448,0.4014100730419159,-0.2880084216594696,#32cd32
